Connected to the server
Starting a file upload...
received ACK(533)from the server('127.0.0.1', 4000).
received ACK(534)from the server('127.0.0.1', 4000).
received ACK(535)from the server('127.0.0.1', 4000).
received ACK(536)from the server('127.0.0.1', 4000).
received ACK(537)from the server('127.0.0.1', 4000).
received ACK(538)from the server('127.0.0.1', 4000).
received ACK(539)from the server('127.0.0.1', 4000).
received ACK(540)from the server('127.0.0.1', 4000).
received ACK(541)from the server('127.0.0.1', 4000).
received ACK(542)from the server('127.0.0.1', 4000).
received ACK(543)from the server('127.0.0.1', 4000).
received ACK(544)from the server('127.0.0.1', 4000).
received ACK(545)from the server('127.0.0.1', 4000).
received ACK(546)from the server('127.0.0.1', 4000).
received ACK(547)from the server('127.0.0.1', 4000).
received ACK(548)from the server('127.0.0.1', 4000).
received ACK(549)from the server('127.0.0.1', 4000).
received ACK(550)from the server('127.0.0.1', 4000).
received ACK(551)from the server('127.0.0.1', 4000).
received ACK(552)from the server('127.0.0.1', 4000).
received ACK(553)from the server('127.0.0.1', 4000).
received ACK(554)from the server('127.0.0.1', 4000).
received ACK(555)from the server('127.0.0.1', 4000).
received ACK(556)from the server('127.0.0.1', 4000).
received ACK(557)from the server('127.0.0.1', 4000).
received ACK(558)from the server('127.0.0.1', 4000).
received ACK(559)from the server('127.0.0.1', 4000).
received ACK(560)from the server('127.0.0.1', 4000).
received ACK(561)from the server('127.0.0.1', 4000).
received ACK(562)from the server('127.0.0.1', 4000).
received ACK(563)from the server('127.0.0.1', 4000).
received ACK(564)from the server('127.0.0.1', 4000).
received ACK(565)from the server('127.0.0.1', 4000).
received ACK(566)from the server('127.0.0.1', 4000).
received ACK(567)from the server('127.0.0.1', 4000).
received ACK(568)from the server('127.0.0.1', 4000).
received ACK(569)from the server('127.0.0.1', 4000).
received ACK(570)from the server('127.0.0.1', 4000).
received ACK(571)from the server('127.0.0.1', 4000).
received ACK(572)from the server('127.0.0.1', 4000).
received ACK(573)from the server('127.0.0.1', 4000).
received ACK(574)from the server('127.0.0.1', 4000).
received ACK(575)from the server('127.0.0.1', 4000).
received ACK(576)from the server('127.0.0.1', 4000).
received ACK(577)from the server('127.0.0.1', 4000).
received ACK(578)from the server('127.0.0.1', 4000).
